what,kind,bundleId,bundleVersion,description,time
java.version,sysinfo,,,"1.6.0_65",1484588153890
java.vm.info,sysinfo,,,"mixed mode",1484588153890
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1484588153890
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1484588153890
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1484588153890
java.vm.specification.version,sysinfo,,,"1.0",1484588153890
java.vm.vendor,sysinfo,,,"Apple Inc.",1484588153890
java.vm.version,sysinfo,,,"20.65-b04-468",1484588153890
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1484588154029
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1484588154316
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1484588154346
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1484588154951
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484588201191
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1484588201228
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484588203241
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484588205682
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484588205802
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484588879083
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484588882560
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484589807822
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484589808117
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1484589808657
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1484589808970
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1484589808973
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1484589808976
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.104.v201004211805,"org.eclipse.jst.ws.axis2.creation.ui",1484589808977
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.103.v201004211805,"org.eclipse.jst.ws.axis2.consumption.ui",1484589808978
stopped,bundle,org.eclipse.jst.ws.axis2.creation.core,1.0.106.v201004211805,"org.eclipse.jst.ws.axis2.creation.core",1484589808980
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.core,1.0.105.v201004211805,"org.eclipse.jst.ws.axis2.consumption.core",1484589808981
stopped,bundle,org.eclipse.jst.ws.axis2.ui,1.0.303.v201003110431,"org.eclipse.jst.ws.axis2.ui",1484589808982
stopped,bundle,org.eclipse.jst.ws.axis2.core,1.0.204.v201004211805,"org.eclipse.jst.ws.axis2.core",1484589808987
